Panel	SGDP_ID	Population_ID	Region	Country	Contributor	Gender	Latitude	Longitude	Coverage	HetRateAuto													
C	S_Irula-2	Irula	SouthAsia	India	Lynn Jorde / Mike Bamshad / Scott Watkins	M	13.5	80.0	50	0.00073													
C	S_Kalash-1	Kalash	SouthAsia	Pakistan	Howard Cann	M	36.0	71.5	35	0.00068													
C	S_Kalash-2	Kalash	SouthAsia	Pakistan	Howard Cann	F	36.0	71.5	32	0.00071													
C	S_Kapu-1	Kapu	SouthAsia	India	Lynn Jorde / Mike Bamshad / Scott Watkins	M	17.7	83.3	49	0.00075													
C	S_Kapu-2	Kapu	SouthAsia	India	Lynn Jorde / Mike Bamshad / Scott Watkins	M	17.7	83.3	50	0.00074													
C	S_Khonda_Dora-1	Khonda_Dora	SouthAsia	India	Lynn Jorde / Mike Bamshad / Scott Watkins	M	18.3	82.9	47	0.00072													
C	S_Kusunda-1	Kusunda	SouthAsia	Nepal	Aashish R. Jha / George van Driem / Irene Gallego Romero	M	28.07245287	82.48778	35	0.00073													
C	S_Kusunda-2	Kusunda	SouthAsia	Nepal	Aashish R. Jha / George van Driem / Irene Gallego Romero	M	28.07245287	84.259486	38	0.00054													
C	S_Madiga-1	Madiga	SouthAsia	India	Lynn Jorde / Mike Bamshad / Scott Watkins	M	17.7	83.3	45	0.00074													
C	S_Madiga-2	Madiga	SouthAsia	India	Lynn Jorde / Mike Bamshad / Scott Watkins	M	17.7	83.3	46	0.00074													
C	S_Makrani-1	Makrani	SouthAsia	Pakistan	Howard Cann	M	26.0	64.0	36	0.00075													
C	S_Makrani-2	Makrani	SouthAsia	Pakistan	Howard Cann	F	26.0	64.0	39	0.00068													
C	S_Mala-2	Mala	SouthAsia	India	Lynn Jorde / Mike Bamshad / Scott Watkins	M	17.7	83.3	47	0.00074													
C	S_Mala-3	Mala	SouthAsia	India	Lynn Jorde / Mike Bamshad / Scott Watkins	M	17.7	83.3	45	0.00074													
C	S_Pathan-1	Pathan	SouthAsia	Pakistan	Howard Cann	M	33.5	70.5	38	0.00075													
C	S_Pathan-2	Pathan	SouthAsia	Pakistan	Howard Cann	F	33.5	70.5	40	0.00075													
C	S_Punjabi-1	Punjabi	SouthAsia	Pakistan	1KG	M	31.5	74.3	33	0.00074													
C	S_Punjabi-2	Punjabi	SouthAsia	Pakistan	1KG	M	31.5	74.3	37	0.00074													
C	S_Punjabi-3	Punjabi	SouthAsia	Pakistan	1KG	F	31.5	74.3	32	0.00074													
C	S_Punjabi-4	Punjabi	SouthAsia	Pakistan	1KG	F	31.5	74.3	31	0.00072													
C	S_Relli-1	Relli	SouthAsia	India	Lynn Jorde / Mike Bamshad / Scott Watkins	M	17.7	83.3	44	0.00074													
C	S_Relli-2	Relli	SouthAsia	India	Lynn Jorde / Mike Bamshad / Scott Watkins	M	17.7	83.3	47	0.0007													
C	S_Sindhi-1	Sindhi	SouthAsia	Pakistan	Howard Cann	M	25.5	69.0	38	0.00071													
